FacilityID,CampsiteLongitude,CampsiteLatitude
232111,-115.369105,40.632128
234122,-109.723986,40.928414
231922,-111.722245,38.549598
234492,-106.422390217,35.214490707
234611,-109.555018,44.726998
234528,-111.656236,37.979543
232289,-111.5886328087,35.2750909942
234303,-111.021982,44.06303
233962,-115.532575,43.835185
232491,-122.491317768,37.827048057
234268,-111.673878,42.138972
233948,-106.524824,41.341887
234077,-112.292124985,34.160759981
232291,-116.301819,44.373094
234273,-104.052799057,43.854345064
234572,-111.576006,38.195207
232076,-114.9156359142,44.143646972
234198,-106.882457,41.193575
234605,-112.088658,42.764452
232344,-116.121247319,44.172365492
234456,-111.7378584078,35.4222253675
232297,-106.606744,35.817185
232292,-115.856659,44.363695
232159,-106.640726327,39.310599773
231876,-105.265619671,39.305504377
234084,-107.171081,41.110323
234317,-109.916203,40.666328
233203,-113.285978,47.925506
232498,-119.562883011,34.049193343
233724,-106.08633678,39.20037022
233326,-121.6466280375,45.3988832683
232223,-111.31066,44.1199
233921,-103.4409984314,43.8765204433
232192,-109.413965483,33.874972738
232207,-112.519377302,34.551885026
232400,-115.323178,44.136675
234783,-156.218716718,20.740110231
233721,-105.468716222,38.906238389
234255,-106.638404,37.403807
118993,-108.1586194,37.89315
118992,-107.8823278,37.8436
118990,-106.38917,41.52639
118991,-107.0044444,44.1897222
234439,-111.956552,35.357335
118995,-119.9937025332,38.1920135282
119290,-123.8579455938,47.4623966216
233664,-122.99994,38.718528
233960,-115.2730974212,43.9542084387
120890,-132.518336573,55.3566758488
234134,-115.1303705455,43.8049892323
232309,-115.4369767358,43.6285430376
233958,-115.401724598,43.9154292141
232224,-106.044994556,39.607335073
234487,-106.167696,38.287356
234260,-111.20632,42.718892
232218,-116.0847265404,43.7815331697
123390,-122.9103139,41.2196611
232285,-110.72018,32.407482
231857,-105.595060961,39.655989417
126690,-111.124081286,33.666427598
234500,-106.320394,34.99787
233887,-111.970057,34.351736
234276,-115.1229142544,44.3686747559
234459,-111.862932,35.008795
234285,-109.759348,40.791341
233942,-105.835242,42.45852
234497,-106.412906221,35.235022893
234263,-111.17,42.5263888889
232815,-119.162992,37.246297
232136,-119.1571344943,37.0720954885
234106,-119.8217226137,34.5433321874
234131,-120.463515999,39.678719
234296,-114.110162,45.806917
234309,-110.835815,45.569256
233079,-132.004722222,56.3644444444
234323,-118.4624894241,35.7016117814
232945,-134.749166667,58.5733333333
233016,-149.8855,60.6330388889
233022,-132.783611111,56.9963888889
232970,-147.380833333,60.0186111111
233732,-117.735237,34.382989
232939,-134.734444444,58.4369444444
232981,-144.640555556,60.2041666667
233085,-132.541666667,56.7102777778
